date,prix,lag_1,lag_2,lag_4,lag_8,lag_12,MA4,MA12,MA26,std_4,mois,trimestre,semaine,variation_pct
2018-04-26,67.93,68.05,68.47,63.37,61.15,61.79,67.8175,64.185,61.894999999999996,0.7041484218539231,4,2,17,-0.17634092578984184
2018-05-03,71.14,67.93,68.05,66.82,60.96,60.6,68.89750000000001,65.06333333333333,62.44615384615385,1.5128202140371536,5,2,18,4.72545267186808
2018-05-10,71.49,71.14,67.93,68.47,65.17,61.68,69.6525,65.88083333333334,63.067692307692305,1.925623275721254,5,2,19,0.49198763002529233
2018-05-17,71.84,71.49,71.14,68.05,64.38,61.64,70.6,66.73083333333334,63.599230769230765,1.8027941276435793,5,2,20,0.4895789620926072
2018-05-24,68.21,71.84,71.49,67.93,63.37,61.15,70.66999999999999,67.31916666666666,64.01884615384616,1.6647121873363566,5,2,21,-5.052895322939877
2018-05-31,64.73,68.21,71.84,71.14,66.82,60.96,69.0675,67.63333333333334,64.35615384615384,3.321870707899298,5,2,22,-5.101891218296428
2018-06-07,66.64,64.73,68.21,71.49,68.47,65.17,67.85499999999999,67.75583333333334,64.7423076923077,3.0137518145990883,6,2,23,2.950718368608052
2018-06-14,66.22,66.64,64.73,71.84,68.05,64.38,66.45,67.90916666666668,65.05499999999999,1.4311999627349492,6,2,24,-0.6302521008403339
2018-06-21,72.76,66.22,66.64,68.21,67.93,63.37,67.5875,68.69166666666668,65.55961538461538,3.5443793532858874,6,2,25,9.876170341286628
2018-06-28,74.14,72.76,66.22,64.73,71.14,66.82,69.94,69.30166666666666,66.04076923076923,4.095558569963256,6,2,26,1.8966465090709095
2018-07-05,70.38,74.14,72.76,66.64,71.49,68.47,70.875,69.46083333333333,66.3026923076923,3.4702305398920608,7,3,27,-5.0714863771243675
2018-07-12,68.76,70.38,74.14,66.22,71.84,68.05,71.51,69.52,66.48692307692308,2.4026929336336162,7,3,28,-2.3017902813299074
2018-07-19,69.3,68.76,70.38,72.76,68.21,67.93,70.64500000000001,69.63416666666666,66.62884615384615,2.4253865671268837,7,3,29,0.785340314136107
2018-07-26,67.66,69.3,68.76,74.14,64.73,71.14,69.025,69.34416666666667,66.74153846153845,1.1321219015633652,7,3,30,-2.3665223665223722
2018-08-02,66.94,67.66,69.3,70.38,66.64,71.49,68.16499999999999,68.96499999999999,66.9396153846154,1.064252476310365,8,3,31,-1.0641442506650889
2018-08-09,65.01,66.94,67.66,68.76,66.22,71.84,67.2275,68.39583333333333,67.10923076923076,1.77785216858227,8,3,32,-2.883178966238409
2018-08-16,67.86,65.01,66.94,69.3,72.76,68.21,66.8675,68.36666666666666,67.34692307692308,1.2998301171047935,8,3,33,4.383940932164276
